Frame 0
Iteration 253: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 254: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 255: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 256: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 257: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 258: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 259: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 260: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 261: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 262: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 263: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 264: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 265: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 266: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 267: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 268: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 269: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 270: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 271: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 272: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 273: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 274: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 275: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 276: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 277: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 278: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 279: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 280: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 281: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 282: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 283: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 284: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 285: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 286: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 287: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 288: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 289: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 290: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 291: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 292: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 293: Reprojection Error: 0.1824, Photometric Error: 0.2041
