Frame 0
Iteration 132: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 133: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 134: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 135: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 136: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 137: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 138: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 139: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 140: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 141: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 142: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 143: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 144: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 145: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 146: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 147: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 148: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 149: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 150: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 151: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 152: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 153: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 154: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 155: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 156: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 157: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 158: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 159: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 160: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 161: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 162: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 163: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 164: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 165: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 166: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 167: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 168: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 169: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 170: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 171: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 172: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 173: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 174: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 175: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 176: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 177: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 178: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 179: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 180: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 181: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 182: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 183: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 184: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 185: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 186: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 187: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 188: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 189: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 190: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 191: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 192: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 193: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 194: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 195: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 196: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 197: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 198: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 199: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 200: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 201: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 202: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 203: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 204: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 205: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 206: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 207: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 208: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 209: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 210: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 211: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 212: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 213: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 214: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 215: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 216: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 217: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 218: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 219: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 220: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 221: Reprojection Error: 0.0770, Photometric Error: 0.0673
